date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:26	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Sep%202020%2004:32:12%20GMT	https://demo.diothemes.com/robots.txt		(from )
09:58:27	81207/81207	---M--	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2011:31:25%20GMT	https://demo.diothemes.com/html/kadirov-fitness/	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/index.html	(from )
09:58:27	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/HP/Desktop/fitrev%20website%20template/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:28	155758/155758	---M--	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202019%2004:40:18%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/css/bootstrap.min.css	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/css/bootstrap.min.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:28	6951/6951	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Jun%202017%2002:11:48%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/css/magnific-popup.css	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/css/magnific-popup.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:28	3145/3145	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2013:44:46%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick-theme.css	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick-theme.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:28	1776/1776	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2013:44:46%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick.css	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/slick-master/slick/slick.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:29	58129/58129	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Sep%202019%2005:22:18%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/animate.css-master/animate.min.css	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/animate.css-master/animate.min.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:29	38637/38637	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Jan%202020%2009:25:12%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/css/fitness.css	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:29	81207/81207	---M--	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2011:31:25%20GMT	https://demo.diothemes.com/html/kadirov-fitness/index.html	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/index-2.html	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:30	2375/2375	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202019%2005:03:38%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/logo.png	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/logo.png	(from https://demo.diothemes.com/html/kadirov-fitness/)
09:58:31	3422/3422	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Nov%202019%2010:38:42%20GMT	https://demo.diothemes.com/html/kadirov-fitness/assets/images/logo2.png	C:/Users/HP/Desktop/fitrev%20website%20template/demo.diothemes.com/html/kadirov-fitness/assets/images/logo2.png	(from https://demo.diothemes.com/html/kadirov-fitness/)
